year,url
2014,https://www2.census.gov/programs-surveys/cps/datasets/2014/basic/aug14pub.zip
2014,https://www2.census.gov/programs-surveys/cps/datasets/2014/basic/jul14pub.zip
2014,https://www2.census.gov/programs-surveys/cps/datasets/2014/basic/jun14pub.zip
2014,https://www2.census.gov/programs-surveys/cps/datasets/2014/basic/may14pub.zip
2014,https://www2.census.gov/programs-surveys/cps/datasets/2014/basic/apr14pub.zip
2014,https://www2.census.gov/programs-surveys/cps/datasets/2014/basic/mar14pub.zip
2014,https://www2.census.gov/programs-surveys/cps/datasets/2014/basic/feb14pub.zip
2014,https://www2.census.gov/programs-surveys/cps/datasets/2014/basic/jan14pub.zip
2013,https://www2.census.gov/programs-surveys/cps/datasets/2013/basic/dec13pub.zip
2013,https://www2.census.gov/programs-surveys/cps/datasets/2013/basic/nov13pub.zip
2013,https://www2.census.gov/programs-surveys/cps/datasets/2013/basic/oct13pub.zip
2013,https://www2.census.gov/programs-surveys/cps/datasets/2013/basic/sep13pub.zip
2013,https://www2.census.gov/programs-surveys/cps/datasets/2013/basic/aug13pub.zip
2013,https://www2.census.gov/programs-surveys/cps/datasets/2013/basic/jul13pub.zip
2013,https://www2.census.gov/programs-surveys/cps/datasets/2013/basic/jun13pub.zip
2013,https://www2.census.gov/programs-surveys/cps/datasets/2013/basic/may13pub.zip
2013,https://www2.census.gov/programs-surveys/cps/datasets/2013/basic/apr13pub.zip
2013,https://www2.census.gov/programs-surveys/cps/datasets/2013/basic/mar13pub.zip
2013,https://www2.census.gov/programs-surveys/cps/datasets/2013/basic/feb13pub.zip
2013,https://www2.census.gov/programs-surveys/cps/datasets/2013/basic/jan13pub.zip
201205,https://www2.census.gov/programs-surveys/cps/datasets/2012/basic/dec12pub.zip
201205,https://www2.census.gov/programs-surveys/cps/datasets/2012/basic/nov12pub.zip
201205,https://www2.census.gov/programs-surveys/cps/datasets/2012/basic/oct12pub.zip
201205,https://www2.census.gov/programs-surveys/cps/datasets/2012/basic/sep12pub.zip
201205,https://www2.census.gov/programs-surveys/cps/datasets/2012/basic/aug12pub.zip
201205,https://www2.census.gov/programs-surveys/cps/datasets/2012/basic/jul12pub.zip
201205,https://www2.census.gov/programs-surveys/cps/datasets/2012/basic/jun12pub.zip
201205,https://www2.census.gov/programs-surveys/cps/datasets/2012/basic/may12pub.zip
201201,https://www2.census.gov/programs-surveys/cps/datasets/2012/basic/apr12pub.zip
201201,https://www2.census.gov/programs-surveys/cps/datasets/2012/basic/mar12pub.zip
201201,https://www2.census.gov/programs-surveys/cps/datasets/2012/basic/feb12pub.zip
201201,https://www2.census.gov/programs-surveys/cps/datasets/2012/basic/jan12pub.zip
2011,https://www2.census.gov/programs-surveys/cps/datasets/2011/basic/dec11pub.zip
2011,https://www2.census.gov/programs-surveys/cps/datasets/2011/basic/nov11pub.zip
2011,https://www2.census.gov/programs-surveys/cps/datasets/2011/basic/oct11pub.zip
2011,https://www2.census.gov/programs-surveys/cps/datasets/2011/basic/sep11pub.zip
2011,https://www2.census.gov/programs-surveys/cps/datasets/2011/basic/aug11pub.zip
2011,https://www2.census.gov/programs-surveys/cps/datasets/2011/basic/jul11pub.zip
2011,https://www2.census.gov/programs-surveys/cps/datasets/2011/basic/jun11pub.zip
2011,https://www2.census.gov/programs-surveys/cps/datasets/2011/basic/may11pub.zip
2011,https://www2.census.gov/programs-surveys/cps/datasets/2011/basic/apr11pub.zip
2011,https://www2.census.gov/programs-surveys/cps/datasets/2011/basic/mar11pub.zip
2011,https://www2.census.gov/programs-surveys/cps/datasets/2011/basic/feb11pub.zip
2011,https://www2.census.gov/programs-surveys/cps/datasets/2011/basic/jan11pub.zip
2010,https://www2.census.gov/programs-surveys/cps/datasets/2010/basic/dec10pub.zip
2010,https://www2.census.gov/programs-surveys/cps/datasets/2010/basic/nov10pub.zip
2010,https://www2.census.gov/programs-surveys/cps/datasets/2010/basic/oct10pub.zip
2010,https://www2.census.gov/programs-surveys/cps/datasets/2010/basic/sep10pub.zip
2010,https://www2.census.gov/programs-surveys/cps/datasets/2010/basic/aug10pub.zip
2010,https://www2.census.gov/programs-surveys/cps/datasets/2010/basic/jul10pub.zip
2010,https://www2.census.gov/programs-surveys/cps/datasets/2010/basic/jun10pub.zip
2010,https://www2.census.gov/programs-surveys/cps/datasets/2010/basic/may10pub.zip
2010,https://www2.census.gov/programs-surveys/cps/datasets/2010/basic/apr10pub.zip
2010,https://www2.census.gov/programs-surveys/cps/datasets/2010/basic/mar10pub.zip
2010,https://www2.census.gov/programs-surveys/cps/datasets/2010/basic/feb10pub.zip
2010,https://www2.census.gov/programs-surveys/cps/datasets/2010/basic/jan10pub.zip
2009,https://www2.census.gov/programs-surveys/cps/datasets/2009/basic/dec09pub.zip
2009,https://www2.census.gov/programs-surveys/cps/datasets/2009/basic/nov09pub.zip
2009,https://www2.census.gov/programs-surveys/cps/datasets/2009/basic/oct09pub.zip
2009,https://www2.census.gov/programs-surveys/cps/datasets/2009/basic/sep09pub.zip
2009,https://www2.census.gov/programs-surveys/cps/datasets/2009/basic/aug09pub.zip
2009,https://www2.census.gov/programs-surveys/cps/datasets/2009/basic/jul09pub.zip
2009,https://www2.census.gov/programs-surveys/cps/datasets/2009/basic/jun09pub.zip
2009,https://www2.census.gov/programs-surveys/cps/datasets/2009/basic/may09pub.zip
2009,https://www2.census.gov/programs-surveys/cps/datasets/2009/basic/apr09pub.zip
2009,https://www2.census.gov/programs-surveys/cps/datasets/2009/basic/mar09pub.zip
2009,https://www2.census.gov/programs-surveys/cps/datasets/2009/basic/feb09pub.zip
2009,https://www2.census.gov/programs-surveys/cps/datasets/2009/basic/jan09pub.zip
2008,https://www2.census.gov/programs-surveys/cps/datasets/2008/basic/dec08pub.zip
2008,https://www2.census.gov/programs-surveys/cps/datasets/2008/basic/nov08pub.zip
2008,https://www2.census.gov/programs-surveys/cps/datasets/2008/basic/oct08pub.zip
2008,https://www2.census.gov/programs-surveys/cps/datasets/2008/basic/sep08pub.zip
2008,https://www2.census.gov/programs-surveys/cps/datasets/2008/basic/aug08pub.zip
2008,https://www2.census.gov/programs-surveys/cps/datasets/2008/basic/jul08pub.zip
2008,https://www2.census.gov/programs-surveys/cps/datasets/2008/basic/jun08pub.zip
2008,https://www2.census.gov/programs-surveys/cps/datasets/2008/basic/may08pub.zip
2008,https://www2.census.gov/programs-surveys/cps/datasets/2008/basic/apr08pub.zip
2008,https://www2.census.gov/programs-surveys/cps/datasets/2008/basic/mar08pub.zip
2008,https://www2.census.gov/programs-surveys/cps/datasets/2008/basic/feb08pub.zip
2008,https://www2.census.gov/programs-surveys/cps/datasets/2008/basic/jan08pub.zip
2007,https://www2.census.gov/programs-surveys/cps/datasets/2007/basic/dec07pub.zip
2007,https://www2.census.gov/programs-surveys/cps/datasets/2007/basic/nov07pub.zip
2007,https://www2.census.gov/programs-surveys/cps/datasets/2007/basic/oct07pub.zip
2007,https://www2.census.gov/programs-surveys/cps/datasets/2007/basic/sep07pub.zip
2007,https://www2.census.gov/programs-surveys/cps/datasets/2007/basic/aug07pub.zip
2007,https://www2.census.gov/programs-surveys/cps/datasets/2007/basic/jul07pub.zip
2007,https://www2.census.gov/programs-surveys/cps/datasets/2007/basic/jun07pub.zip
2007,https://www2.census.gov/programs-surveys/cps/datasets/2007/basic/may07pub.zip
2007,https://www2.census.gov/programs-surveys/cps/datasets/2007/basic/apr07pub.zip
2007,https://www2.census.gov/programs-surveys/cps/datasets/2007/basic/mar07pub.zip
2007,https://www2.census.gov/programs-surveys/cps/datasets/2007/basic/feb07pub.zip
2007,https://www2.census.gov/programs-surveys/cps/datasets/2007/basic/jan07pub.zip
