year,month,url,data_dict
2021,12,https://www2.census.gov/programs-surveys/cps/datasets/2021/basic/dec21pub.zip,202101
2021,11,https://www2.census.gov/programs-surveys/cps/datasets/2021/basic/nov21pub.zip,202101
2021,10,https://www2.census.gov/programs-surveys/cps/datasets/2021/basic/oct21pub.zip,202101
2021,9,https://www2.census.gov/programs-surveys/cps/datasets/2021/basic/sep21pub.zip,202101
2021,8,https://www2.census.gov/programs-surveys/cps/datasets/2021/basic/aug21pub.zip,202101
2021,7,https://www2.census.gov/programs-surveys/cps/datasets/2021/basic/jul21pub.zip,202101
2021,6,https://www2.census.gov/programs-surveys/cps/datasets/2021/basic/jun21pub.zip,202101
2021,5,https://www2.census.gov/programs-surveys/cps/datasets/2021/basic/may21pub.zip,202101
2021,4,https://www2.census.gov/programs-surveys/cps/datasets/2021/basic/apr21pub.zip,202101
2021,3,https://www2.census.gov/programs-surveys/cps/datasets/2021/basic/mar21pub.zip,202101
2021,2,https://www2.census.gov/programs-surveys/cps/datasets/2021/basic/feb21pub.zip,202101
2021,1,https://www2.census.gov/programs-surveys/cps/datasets/2021/basic/jan21pub.zip,202101
2020,12,https://www2.census.gov/programs-surveys/cps/datasets/2020/basic/dec20pub.zip,202001
2020,11,https://www2.census.gov/programs-surveys/cps/datasets/2020/basic/nov20pub.zip,202001
2020,10,https://www2.census.gov/programs-surveys/cps/datasets/2020/basic/oct20pub.zip,202001
2020,9,https://www2.census.gov/programs-surveys/cps/datasets/2020/basic/sep20pub.zip,202001
2020,8,https://www2.census.gov/programs-surveys/cps/datasets/2020/basic/aug20pub.zip,202001
2020,7,https://www2.census.gov/programs-surveys/cps/datasets/2020/basic/jul20pub.zip,202001
2020,6,https://www2.census.gov/programs-surveys/cps/datasets/2020/basic/jun20pub.zip,202001
2020,5,https://www2.census.gov/programs-surveys/cps/datasets/2020/basic/may20pub.zip,202001
2020,4,https://www2.census.gov/programs-surveys/cps/datasets/2020/basic/apr20pub.zip,202001
2020,3,https://www2.census.gov/programs-surveys/cps/datasets/2020/basic/mar20pub.zip,202001
2020,2,https://www2.census.gov/programs-surveys/cps/datasets/2020/basic/feb20pub.zip,202001
2020,1,https://www2.census.gov/programs-surveys/cps/datasets/2020/basic/jan20pub.zip,202001
2019,12,https://www2.census.gov/programs-surveys/cps/datasets/2019/basic/dec19pub.zip,201701
2019,11,https://www2.census.gov/programs-surveys/cps/datasets/2019/basic/nov19pub.zip,201701
2019,10,https://www2.census.gov/programs-surveys/cps/datasets/2019/basic/oct19pub.zip,201701
2019,9,https://www2.census.gov/programs-surveys/cps/datasets/2019/basic/sep19pub.zip,201701
2019,8,https://www2.census.gov/programs-surveys/cps/datasets/2019/basic/aug19pub.zip,201701
2019,7,https://www2.census.gov/programs-surveys/cps/datasets/2019/basic/jul19pub.zip,201701
2019,6,https://www2.census.gov/programs-surveys/cps/datasets/2019/basic/jun19pub.zip,201701
2019,5,https://www2.census.gov/programs-surveys/cps/datasets/2019/basic/may19pub.zip,201701
2019,4,https://www2.census.gov/programs-surveys/cps/datasets/2019/basic/apr19pub.zip,201701
2019,3,https://www2.census.gov/programs-surveys/cps/datasets/2019/basic/mar19pub.zip,201701
2019,2,https://www2.census.gov/programs-surveys/cps/datasets/2019/basic/feb19pub.zip,201701
2019,1,https://www2.census.gov/programs-surveys/cps/datasets/2019/basic/jan19pub.zip,201701
2018,12,https://www2.census.gov/programs-surveys/cps/datasets/2018/basic/dec18pub.zip,201701
2018,11,https://www2.census.gov/programs-surveys/cps/datasets/2018/basic/nov18pub.zip,201701
2018,10,https://www2.census.gov/programs-surveys/cps/datasets/2018/basic/oct18pub.zip,201701
2018,9,https://www2.census.gov/programs-surveys/cps/datasets/2018/basic/sep18pub.zip,201701
2018,8,https://www2.census.gov/programs-surveys/cps/datasets/2018/basic/aug18pub.zip,201701
2018,7,https://www2.census.gov/programs-surveys/cps/datasets/2018/basic/jul18pub.zip,201701
2018,6,https://www2.census.gov/programs-surveys/cps/datasets/2018/basic/jun18pub.zip,201701
2018,5,https://www2.census.gov/programs-surveys/cps/datasets/2018/basic/may18pub.zip,201701
2018,4,https://www2.census.gov/programs-surveys/cps/datasets/2018/basic/apr18pub.zip,201701
2018,3,https://www2.census.gov/programs-surveys/cps/datasets/2018/basic/mar18pub.zip,201701
2018,2,https://www2.census.gov/programs-surveys/cps/datasets/2018/basic/feb18pub.zip,201701
2018,1,https://www2.census.gov/programs-surveys/cps/datasets/2018/basic/jan18pub.zip,201701
