varname,start,end
pxernuot,777,778
pxernper,779,780
pxernh1o,781,782
pxernhro,783,784
pxern,785,786
pxpdemp2,787,788
pxnmemp2,789,790
pxernwkp,791,792
pxernrt,793,794
pxernhry,795,796
pxernh2,797,798
pxernlab,799,800
pxerncov,801,802
pxnlfjh,803,804
pxnlfret,805,806
pxnlfact,807,808
pxschenr,809,810
pxschft,811,812
pxschlvl,813,814
qstnum,815,819
occurnum,820,821
pedipged,822,823
pehgcomp,824,825
pecyc,826,827
pxdipged,834,835
pxhgcomp,836,837
pxcyc,838,839
pwcmpwgt,846,855
peio1icd,856,859
peio1ocd,860,863
peio2icd,864,867
peio2ocd,868,871
primind1,872,873
primind2,874,875
peafwhn1,876,877
peafwhn2,878,879
peafwhn3,880,881
peafwhn4,882,883
pxafever,884,885
pepar2,886,887
pepar1,888,889
pepar2ty,890,891
pepar1ty,892,893
pecohab,894,895
pxpar2,896,897
pxpar1,898,899
pxpar2ty,900,901
pxpar1ty,902,903
pxcohab,904,905
pedisear,906,907
pediseye,908,909
pedisrem,910,911
pedisphy,912,913
pedisdrs,914,915
pedisout,916,917
prdisflg,918,919
pxdisear,920,921
pxdiseye,922,923
pxdisrem,924,925
pxdisphy,926,927
pxdisdrs,928,929
pxdisout,930,931
hxfaminc,932,933
prdasian,934,935
pepdemp1,936,937
ptnmemp1,938,939
pepdemp2,940,941
ptnmemp2,942,943
pecert1,944,945
pecert2,946,947
pecert3,948,949
pxcert1,950,951
pxcert2,952,953
pxcert3,954,955
